original_feature,feature_name,coefficient,abs_coefficient,p_value,confint_lb,confint_ub,pseudo_r2,individual_auc,individual_log_loss
medical_specialty,medical_specialty_Perinatology,-0.00010686220136012127,0.00010686220136012127,0.999969671699741,-5.510332109471979,5.510118385069259,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_PhysicalMedicineandRehabilitation,0.1702854499867725,0.1702854499867725,0.19531510912430328,-0.08743791338375081,0.4280088133572958,0.00011863601673089974,0.5008522395245673,0.6930649483394354
medical_specialty,medical_specialty_PhysicianNotFound,2.5188746974476404e-05,2.5188746974476404e-05,0.999980397967958,-2.0095246249134884,2.0095750024074372,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Podiatry,-2.9581279326838217e-05,2.9581279326838217e-05,0.9999038141722265,-0.480978742392207,0.4809195798335533,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Proctology,0.00018677486453110413,0.00018677486453110413,0.9999450821477338,-5.318423795884739,5.318797345613801,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Psychiatry,0.15364207725116896,0.15364207725116896,0.09706799157999502,-0.027847307829784534,0.33513146233212243,7.116024925535314e-06,0.5002932190079961,0.6931422481073314
medical_specialty,medical_specialty_Psychiatry-Addictive,0.00014552649990122918,0.00014552649990122918,0.9999589693422126,-5.546455294352712,5.5467463473525145,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Psychiatry-Child/Adolescent,-6.075025089328759e-05,6.075025089328759e-05,0.9999620680516592,-2.504648386574443,2.5045268860726564,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Psychology,-0.000856400377261043,0.000856400377261043,0.9973462225450511,-0.5055233408492952,0.503810540094773,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Pulmonology,2.784619290986887e-05,2.784619290986887e-05,0.9997263781677668,-0.1591227901265802,0.15917848251239997,0.0,0.5,0.6931471805599453
